decoded_loss,loss,regression_loss,val_decoded_loss,val_loss,val_regression_loss
586.06494140625,1165.2066650390625,579.1416015625,184.6842803955078,345.49432373046875,160.5216064453125
72.93820190429688,123.9384536743164,51.00025939941406,26.346891403198242,53.56336975097656,27.150217056274414
25.627042770385742,56.85372543334961,31.226682662963867,26.0463809967041,48.236873626708984,22.130420684814453
25.91302490234375,50.01968002319336,24.10664176940918,25.072057723999023,41.5803337097168,16.45293426513672
25.246519088745117,40.10600280761719,14.859488487243652,22.95846176147461,29.166425704956055,6.166366100311279
21.857397079467773,25.87337875366211,4.015979290008545,15.848991394042969,17.229795455932617,1.3557771444320679
11.534653663635254,12.616713523864746,1.0820581912994385,6.374687671661377,7.101363182067871,0.7147919535636902
4.969568729400635,5.398397922515869,0.4288299083709717,3.644136428833008,4.088806629180908,0.44048625230789185
3.0649545192718506,3.30576491355896,0.24081097543239594,3.067643165588379,3.3174445629119873,0.2485898733139038
2.3472325801849365,2.4844205379486084,0.13718734681606293,2.390867233276367,2.523106575012207,0.13208836317062378
1.7785990238189697,1.8725199699401855,0.09392132610082626,1.7481002807617188,1.865084171295166,0.11654006689786911
1.2544928789138794,1.3288596868515015,0.07436659187078476,1.3370943069458008,1.4493472576141357,0.1123436912894249
1.0013788938522339,1.0667732954025269,0.06539437919855118,1.143986701965332,1.2320629358291626,0.08849114179611206
0.874771237373352,0.9316452145576477,0.05687393993139267,1.0435476303100586,1.1225826740264893,0.07949111610651016
0.8006874918937683,0.8531873822212219,0.05249994248151779,0.9754290580749512,1.0486328601837158,0.07363253086805344
0.7528348565101624,0.8019604086875916,0.049125514924526215,0.923690915107727,0.9913685917854309,0.06803271919488907
0.7184861302375793,0.7646246552467346,0.04613851383328438,0.8981485962867737,0.9603257179260254,0.0625106617808342
0.7231507897377014,0.7676450610160828,0.04449417069554329,0.8730721473693848,0.92880779504776,0.05601447448134422
0.6750840544700623,0.717559278011322,0.0424751453101635,0.8534297943115234,0.9074498414993286,0.054229993373155594
0.6593751311302185,0.7003574371337891,0.04098239541053772,0.8362376689910889,0.8883848786354065,0.05231018364429474
0.6457996964454651,0.6853724718093872,0.03957253322005272,0.8200682401657104,0.8698219656944275,0.04988664761185646
0.6336186528205872,0.6720423698425293,0.03842370584607124,0.8052778840065002,0.853052020072937,0.04788832738995552
0.6230106949806213,0.6601988673210144,0.03718820586800575,0.7919133305549622,0.8376724720001221,0.04587572067975998
0.6136336326599121,0.6498215794563293,0.036187946796417236,0.7802413105964661,0.8242081999778748,0.04408445954322815
0.6047773957252502,0.6400566101074219,0.03527909517288208,0.7687376737594604,0.8115291595458984,0.042904242873191833
0.5967786908149719,0.6311079859733582,0.034329336136579514,0.7589560151100159,0.7992714047431946,0.04043217748403549
0.5901737213134766,0.622875452041626,0.032701827585697174,0.7499468922615051,0.7889549732208252,0.03913725167512894
0.5842316746711731,0.6159238219261169,0.03169212490320206,0.7462218403816223,0.7845816612243652,0.03847977891564369
0.5792369246482849,0.6101333498954773,0.030896218493580818,0.7359442114830017,0.7716984748840332,0.03587149456143379
0.5744015574455261,0.6045747995376587,0.0301734060049057,0.7313797473907471,0.764832079410553,0.03356080502271652
0.5695004463195801,0.5989046692848206,0.029404038563370705,0.7232702374458313,0.7556382417678833,0.03245176002383232
0.564425528049469,0.5936574935913086,0.029232075437903404,0.7151844501495361,0.7465336322784424,0.031419821083545685
0.5593346357345581,0.5880641341209412,0.02872968651354313,0.7102722525596619,0.7398982644081116,0.029667505994439125
0.5542339086532593,0.5824218988418579,0.02818787842988968,0.7043169140815735,0.7327524423599243,0.028451181948184967
0.5491181015968323,0.5767702460289001,0.02765224687755108,0.6960374712944031,0.7241840958595276,0.028132786974310875
0.5441628098487854,0.5715422034263611,0.027379300445318222,0.6917964816093445,0.7183395624160767,0.026501279324293137
0.5382171869277954,0.5651383399963379,0.02692100778222084,0.681186318397522,0.7071526050567627,0.025905584916472435
0.5327253341674805,0.5592817068099976,0.026556620374321938,0.6739735007286072,0.698358416557312,0.024307793006300926
0.5274884104728699,0.5534546375274658,0.025966225191950798,0.6653898358345032,0.6904828548431396,0.02502944879233837
0.5271692872047424,0.5531187057495117,0.02594946324825287,0.6563944220542908,0.6788139939308167,0.022344933822751045
0.5171312689781189,0.542025089263916,0.02489374577999115,0.646781861782074,0.6680270433425903,0.02115790545940399
0.512118935585022,0.5364353656768799,0.024316413328051567,0.6397610902786255,0.6602346301078796,0.020380020141601562
0.5073123574256897,0.5308915972709656,0.023579291999340057,0.6311960816383362,0.6499349474906921,0.018660714849829674
0.502643883228302,0.5235590934753418,0.020915240049362183,0.6248130202293396,0.6396864056587219,0.014809748157858849
0.4992592930793762,0.5178015232086182,0.018542202189564705,0.6168212890625,0.6316741108894348,0.014774692244827747
0.49483251571655273,0.5114501118659973,0.016617551445961,0.6103180050849915,0.6222957968711853,0.011935435235500336
0.4960935413837433,0.5138154029846191,0.017721937969326973,0.590429425239563,0.6082552671432495,0.017803510650992393
0.49357303977012634,0.5104755163192749,0.01690237782895565,0.6090373992919922,0.6211859583854675,0.012164481915533543
0.4910697937011719,0.5092334747314453,0.01816379465162754,0.6028168797492981,0.6230477690696716,0.020241696387529373
0.48823416233062744,0.5063682794570923,0.018134158104658127,0.5963558554649353,0.6100161075592041,0.013660336844623089
